source,target,colors
 g__Acaulium, g__Acremonium,red
 g__Acaulium, g__Bullera,red
 g__Acaulium, g__Cercophora,red
 g__Acaulium, g__Cladosporium,red
 g__Acaulium, g__Filobasidium,red
 g__Acaulium, g__Metarhizium,red
 g__Acaulium, g__Microcyclospora,red
 g__Acaulium, g__Pseudaleuria,red
 g__Acaulium, g__Trichomerium,red
 g__Acaulium, g__unclassified,red
 g__Acaulium, g__Vishniacozyma,red
 g__Acremonium, g__Bullera,red
 g__Acremonium, g__Cercophora,red
 g__Acremonium, g__Cladosporium,red
 g__Acremonium, g__Filobasidium,red
 g__Acremonium, g__Metarhizium,red
 g__Acremonium, g__Microcyclospora,red
 g__Acremonium, g__Pseudaleuria,red
 g__Acremonium, g__Trichomerium,red
 g__Acremonium, g__unclassified,red
 g__Acremonium, g__Vishniacozyma,red
 g__Ascochyta, g__Myrothecium,red
 g__Aspergillus, g__Cutaneotrichosporon,red
 g__Bullera, g__Cercophora,red
 g__Bullera, g__Cladosporium,red
 g__Bullera, g__Filobasidium,red
 g__Bullera, g__Metarhizium,red
 g__Bullera, g__Microcyclospora,red
 g__Bullera, g__Pseudaleuria,red
 g__Bullera, g__Trichomerium,red
 g__Bullera, g__unclassified,red
 g__Bullera, g__Vishniacozyma,red
 g__Cercophora, g__Cladosporium,red
 g__Cercophora, g__Filobasidium,red
 g__Cercophora, g__Metarhizium,red
 g__Cercophora, g__Microcyclospora,red
 g__Cercophora, g__Pseudaleuria,red
 g__Cercophora, g__Trichomerium,red
 g__Cercophora, g__unclassified,red
 g__Cercophora, g__Vishniacozyma,red
 g__Cercospora, g__Septoria,red
 g__Cladorrhinum, g__Emericellopsis,red
 g__Cladorrhinum, g__Plectosphaerella,red
 g__Cladorrhinum, g__Staphylotrichum,red
 g__Cladorrhinum, g__Talaromyces,red
 g__Cladorrhinum, g__Trichoderma,red
 g__Cladosporium, g__Filobasidium,red
 g__Cladosporium, g__Metarhizium,red
 g__Cladosporium, g__Pseudaleuria,red
 g__Cladosporium, g__Trichomerium,red
 g__Cladosporium, g__unclassified,red
 g__Cladosporium, g__Vishniacozyma,red
 g__Cutaneotrichosporon, g__Golubevia,red
 g__Emericellopsis, g__Plectosphaerella,red
 g__Emericellopsis, g__Staphylotrichum,red
 g__Emericellopsis, g__Talaromyces,red
 g__Emericellopsis, g__Trichoderma,red
 g__Filobasidium, g__Metarhizium,red
 g__Filobasidium, g__Microcyclospora,red
 g__Filobasidium, g__Pseudaleuria,red
 g__Filobasidium, g__Trichomerium,red
 g__Filobasidium, g__unclassified,red
 g__Filobasidium, g__Vishniacozyma,red
 g__Fusarium, g__Leptosphaeria,red
 g__Fusarium, g__Rhodosporidiobolus,red
 g__Fusarium, g__Trechispora,red
 g__Leptosphaeria, g__Rhodosporidiobolus,red
 g__Leptosphaeria, g__Trechispora,red
 g__Metarhizium, g__Microcyclospora,red
 g__Metarhizium, g__Pseudaleuria,red
 g__Metarhizium, g__Trichomerium,red
 g__Metarhizium, g__unclassified,red
 g__Metarhizium, g__Vishniacozyma,red
 g__Microcyclospora, g__Pseudaleuria,red
 g__Microcyclospora, g__Trichomerium,red
 g__Microcyclospora, g__Vishniacozyma,red
 g__Penicillium, g__Trichoderma,blue
 g__Plectosphaerella, g__Staphylotrichum,red
 g__Plectosphaerella, g__Talaromyces,red
 g__Plectosphaerella, g__Trichoderma,red
 g__Pseudaleuria, g__Trichomerium,red
 g__Pseudaleuria, g__unclassified,red
 g__Pseudaleuria, g__Vishniacozyma,red
 g__Rhodosporidiobolus, g__Trechispora,red
 g__Staphylotrichum, g__Talaromyces,red
 g__Staphylotrichum, g__Trichoderma,red
 g__Talaromyces, g__Trichoderma,red
 g__Trichomerium, g__unclassified,red
 g__Trichomerium, g__Vishniacozyma,red
 g__unclassified, g__Vishniacozyma,red
